,time,mem,correct,size,max_value,sum,algorithm,result
478,141.48879265785217,2664,True,22,220,2389,accurate,False
479,3.3320364952087402,60438,True,22,220,2389,dynamic,False
480,87.8758487701416,0,True,24,240,2500,accurate,True
481,2.517801523208618,67449,True,24,240,2500,dynamic,True
482,900.231529712677,0,True,26,260,3540,accurate,False
483,1.8401174545288086,98255,True,26,260,3540,dynamic,False
484,0.0002262592315673828,3644,True,6,60,110,accurate,False
485,0.007178306579589844,2952,True,6,60,110,dynamic,False
486,0.0008084774017333984,480,True,8,80,222,accurate,False
487,0.011077880859375,3055,True,8,80,222,dynamic,False
488,0.05195903778076172,2568,True,10,100,530,accurate,True
489,0.11835908889770508,0,True,10,100,530,dynamic,True
490,0.1297287940979004,13083,True,12,120,570,accurate,True
491,0.8261928558349609,10312,True,12,120,570,dynamic,True
492,0.1278247833251953,14870,True,14,140,702,accurate,True
493,0.03024125099182129,12405,True,14,140,702,dynamic,True
494,0.26161837577819824,2136,True,16,160,1153,accurate,True
495,0.8225185871124268,0,True,16,160,1153,dynamic,True
496,0.33356404304504395,5917,True,18,180,1405,accurate,True
497,0.9614419937133789,0,True,18,180,1405,dynamic,True
498,8.133807897567749,0,True,20,200,1711,accurate,True
499,0.15236735343933105,37308,True,20,200,1711,dynamic,True
500,24.323673486709595,48041,True,22,220,2312,accurate,True
501,3.4576034545898438,57767,True,22,220,2312,dynamic,True
502,488.7131645679474,7036,True,24,240,2687,accurate,False
503,2.4240567684173584,71616,True,24,240,2687,dynamic,False
504,653.6405403614044,0,True,26,260,3479,accurate,False
505,1.6037256717681885,96464,True,26,260,3479,dynamic,False
506,0.0001595020294189453,1312,True,6,60,134,accurate,False
507,0.0028138160705566406,3280,True,6,60,134,dynamic,False
508,0.001348257064819336,1384,True,8,80,288,accurate,False
509,0.010263442993164062,7582,True,8,80,288,dynamic,False
510,0.0016756057739257812,1456,True,10,100,543,accurate,False
511,0.3044748306274414,0,True,10,100,543,dynamic,False
512,1.7829866409301758,1128,True,12,120,516,accurate,True
513,0.019786357879638672,7561,True,12,120,516,dynamic,True
514,1.7937946319580078,3120,True,14,140,841,accurate,True
515,0.5126612186431885,0,True,14,140,841,dynamic,True
516,6.652759790420532,40970,True,16,160,1174,accurate,False
517,1.4651198387145996,42567,True,16,160,1174,dynamic,False
518,3.313159465789795,39161,True,18,180,1517,accurate,True
519,3.9534099102020264,1636,True,18,180,1517,dynamic,True
520,8.060620307922363,0,True,20,200,1699,accurate,True
521,1.514786720275879,41856,True,20,200,1699,dynamic,True
522,35.0792121887207,53057,True,22,220,2289,accurate,True
523,0.7918543815612793,58522,True,22,220,2289,dynamic,True
524,496.2716689109802,0,True,24,240,2498,accurate,True
525,4.0404863357543945,67055,True,24,240,2498,dynamic,True
526,691.9452946186066,0,True,26,260,3446,accurate,False
527,1.5691776275634766,95745,True,26,260,3446,dynamic,False
528,0.0002377033233642578,4168,True,6,60,212,accurate,False
529,0.004158973693847656,3280,True,6,60,212,dynamic,False
530,0.000186920166015625,1400,True,8,80,241,accurate,True
531,0.004212379455566406,3042,True,8,80,241,dynamic,True
532,0.0025768280029296875,1536,True,10,100,555,accurate,False
533,0.05457425117492676,4917,True,10,100,555,dynamic,False
534,0.11247515678405762,7696,True,12,120,728,accurate,False
535,0.035935163497924805,0,True,12,120,728,dynamic,False
536,0.13445806503295898,0,True,14,140,812,accurate,True
537,0.1364145278930664,10234,True,14,140,812,dynamic,True
538,0.28344035148620605,3664,True,16,160,1189,accurate,True
539,0.15429139137268066,0,True,16,160,1189,dynamic,True
540,8.376507043838501,12948,True,18,180,1505,accurate,False
541,3.0294291973114014,0,True,18,180,1505,dynamic,False
542,0.48052024841308594,0,True,20,200,1415,accurate,True
543,1.9984469413757324,31090,True,20,200,1415,dynamic,True
544,39.15308427810669,0,True,22,220,2308,accurate,True
545,1.4117460250854492,0,True,22,220,2308,dynamic,True
546,603.3294682502747,0,True,24,240,2729,accurate,False
547,4.1168036460876465,72974,True,24,240,2729,dynamic,False
548,610.7780463695526,0,True,26,260,3608,accurate,False
549,1.8717656135559082,99823,True,26,260,3608,dynamic,False
